Scenario Name,Date,Real GDP growth,Nominal GDP growth,Real disposable income growth,Nominal disposable income growth,Unemployment rate,CPI inflation rate,3-month Treasury rate,5-year Treasury yield,10-year Treasury yield,BBB corporate yield,Mortgage rate,Prime rate,Dow Jones Total Stock Market Index (Level),House Price Index (Level),Commercial Real Estate Price Index (Level),Market Volatility Index (Level)
Actual,1982 Q3,-1.5,4.2,2.1,8.7,9.9,7.1,9.3,12.9,12.9,,16.2,14.7,,45.7,93.8,
Actual,1982 Q4,0.2,4.4,1.5,6,10.7,1.2,7.9,10.7,10.9,,14,12,,46,93.3,
Actual,1983 Q1,5.4,8.6,4,7.5,10.4,0.3,8.1,10.4,10.7,,13,10.9,,46.5,91.7,
Actual,1983 Q2,9.4,12.7,2.9,6.7,10.1,4.7,8.4,10.4,10.7,,12.8,10.5,,47.1,90.7,
Actual,1983 Q3,8.2,12.9,6.1,11.8,9.4,4,9.1,11.5,11.7,,13.6,10.8,,47.8,90.5,
Actual,1983 Q4,8.6,11.9,9,11.9,8.5,4.1,8.8,11.4,11.7,,13.5,11,,48.4,90.4,
Actual,1984 Q1,8.1,12.5,7.9,12.7,7.9,5.8,9.2,11.7,11.9,,13.3,11.1,,49,90.5,
Actual,1984 Q2,7.1,10.8,6.6,10.8,7.4,3.8,9.8,13,13.2,,14,12.3,,49.6,91.4,
Actual,1984 Q3,3.9,7.7,5.3,8.6,7.4,3.5,10.3,12.8,12.9,,14.5,13,,50.4,92,
Actual,1984 Q4,3.3,6.4,3.4,5.9,7.3,3.5,8.8,11.5,11.8,,13.6,11.8,,50.7,92.5,
Actual,1985 Q1,3.9,8.1,-1,3.8,7.2,3.7,8.2,11.3,11.6,,13.1,10.5,,51.3,93.2,
Actual,1985 Q2,3.6,6.3,8.2,11.8,7.3,3.7,7.5,10.5,10.9,,12.8,10.2,,52.4,93.4,
Actual,1985 Q3,6.3,8.8,-1.1,2,7.2,2.5,7.1,10,10.5,,12.1,9.5,,52.9,93.9,
Actual,1985 Q4,3,5.3,4.5,7.4,7,4.1,7.2,9.4,10,,11.7,9.5,,53.9,92.3,
Actual,1986 Q1,3.8,5.9,5.5,8.6,7,2.1,6.9,8.4,8.8,,10.6,9.4,,55,94.1,
Actual,1986 Q2,1.8,3.4,5.1,4.7,7.2,-1.9,6.1,7.7,7.9,,10.2,8.6,,56.1,95.9,
Actual,1986 Q3,3.9,5.6,2.2,4.4,7,2.5,5.5,7.3,7.7,,10.2,7.9,,57.4,97.3,
Actual,1986 Q4,2.2,4.4,0.1,2.5,6.8,2.8,5.4,7,7.6,,9.7,7.5,,58.3,98.7,
Actual,1987 Q1,3,5.7,3,6.9,6.6,4.9,5.5,6.9,7.4,,9.1,7.5,2929.7,60.2,100.6,
Actual,1987 Q2,4.4,7.3,-4.1,-0.3,6.3,4.6,5.7,8.1,8.5,,10.3,8,3004.9,61.5,102.6,
Actual,1987 Q3,3.5,6.7,7.4,11.5,6,4.3,6,8.5,9,,10.5,8.4,3171,62.9,103.2,
Actual,1987 Q4,7,10.5,5.9,9.6,5.8,3.8,5.9,8.8,9.2,,10.9,8.9,2417.1,64.1,103.8,
Actual,1988 Q1,2.1,5.3,6.7,10.2,5.7,3.2,5.7,8,8.6,,10.1,8.6,2584,65.1,104.9,
Actual,1988 Q2,5.4,9.5,4.7,9.4,5.5,4.7,6.2,8.5,9,,10.4,8.8,2729.7,66.8,106.1,
Actual,1988 Q3,2.4,7.3,4.1,9.4,5.5,5,7,8.8,9.2,,10.5,9.7,2706.7,68.6,106.4,
Actual,1988 Q4,5.4,9.1,3.9,8.1,5.3,4.4,7.7,8.8,9,10.3,10.4,10.2,2738.4,70.4,106.6,
Actual,1989 Q1,4.1,8.5,4.4,9.3,5.2,4.6,8.5,9.4,9.3,10.5,10.8,11,2915.1,71.9,107.6,
Actual,1989 Q2,3.1,7.6,-1.3,4.1,5.2,6.6,8.4,8.9,8.9,10.3,10.6,11.4,3137,72.9,108.6,
Actual,1989 Q3,3,6,2.7,5.1,5.2,3.2,7.8,8.1,8.2,9.8,10,10.7,3426.7,73.9,109,
Actual,1989 Q4,0.8,3.7,3.5,6.8,5.4,4.1,7.7,8,8,9.8,9.8,10.5,3419.9,74.9,109.4,
Actual,1990 Q1,4.4,9,3.3,9.4,5.3,7.1,7.8,8.5,8.5,10.4,10.1,10,3273.5,75.9,108.4,27.3
Actual,1990 Q2,1.5,6.1,3,6.8,5.3,4,7.7,8.7,8.8,10.7,10.3,10,3424.4,76,107.5,24.2
Actual,1990 Q3,0.3,3.7,0.1,5.2,5.7,7.1,7.5,8.5,8.8,10.6,10.1,10,2879.3,75.8,107,36.5
Actual,1990 Q4,-3.6,-0.7,-3.2,2.1,6.1,7,7,8.1,8.5,10.9,10,10,3101.4,75.5,106.6,34
Actual,1991 Q1,-1.9,2,1.2,3.4,6.6,3,6,7.7,8.2,10.4,9.5,9.2,3583.7,74.9,105.6,36.2
Actual,1991 Q2,3.2,6.2,3,5.3,6.8,2.4,5.6,7.8,8.3,10.1,9.5,8.7,3545.5,75.4,104.6,20.1
Actual,1991 Q3,2,5.3,1.5,4.3,6.9,3.1,5.4,7.5,8.1,9.8,9.3,8.4,3744,75.2,101,21.2
Actual,1991 Q4,1.4,3.8,3.2,6.2,7.1,3.4,4.5,6.7,7.5,9.2,8.7,7.6,4041.1,75,97.6,21.9
Actual,1992 Q1,4.9,6.4,7.9,10.7,7.4,2.7,3.9,6.7,7.5,8.9,8.7,6.5,3961.6,75.1,95.4,19.8
Actual,1992 Q2,4.4,6.9,3.8,6.6,7.6,3.1,3.7,6.7,7.5,8.6,8.7,6.5,3930.3,75,93.2,20.2
Actual,1992 Q3,4,6.1,1.7,4.4,7.6,3.1,3.1,5.7,6.9,7.9,8,6,4024.4,74.9,90.7,16.2
Actual,1992 Q4,4.2,7.1,1.8,4.7,7.4,3.6,3.1,6,7,8.1,8.2,6,4289.7,75.1,88.3,21
Actual,1993 Q1,0.7,2.9,1.5,4,7.1,2.9,3,5.5,6.5,7.7,7.8,6,4444.3,75.4,87.4,16.2
Actual,1993 Q2,2.3,4.8,1.3,4,7.1,2.9,3,5.2,6.2,7.2,7.5,6,4449.6,75.7,86.5,15.3
Actual,1993 Q3,1.9,4.4,0.3,2.1,6.8,1.9,3,5,5.8,6.8,7.1,6,4601.8,76.3,86.4,17.3
Actual,1993 Q4,5.6,7.9,2.8,5.2,6.6,3.4,3.1,5,5.8,6.7,7,6,4657.8,77,86.4,15.9
Actual,1994 Q1,3.9,5.9,2.6,4.1,6.6,2,3.3,5.5,6.2,7.1,7.3,6,4457.7,77.2,87.4,20.5
Actual,1994 Q2,5.5,7.6,4.1,6.4,6.2,2.3,4,6.7,7.2,8.2,8.4,6.9,4395.2,77.7,88.4,23.9
Actual,1994 Q3,2.4,4.7,2.4,5.3,6,3.8,4.5,6.9,7.4,8.4,8.6,7.5,4605.8,78,89.3,14.9
Actual,1994 Q4,4.7,7,5.9,7.9,5.6,2.3,5.3,7.6,7.9,8.9,9.1,8.1,4540.6,78.4,90.4,18.4
Actual,1995 Q1,1.4,3.6,3.4,5.5,5.5,3,5.7,7.4,7.6,8.6,8.8,8.8,4920.4,78.6,90.6,14.3
Actual,1995 Q2,1.2,3.2,1.1,3.5,5.7,3.3,5.6,6.4,6.7,7.7,7.9,9,5348.8,79.2,90.5,13.5
Actual,1995 Q3,3.4,5.5,3.7,5.4,5.7,2,5.4,6.1,6.5,7.4,7.7,8.8,5806.6,79.9,91.2,13.8
Actual,1995 Q4,2.7,4.7,2.3,4.1,5.6,2.2,5.3,5.7,6,7,7.3,8.7,6057.2,80.3,92.1,15.7
Actual,1996 Q1,3,5,3.8,6.1,5.5,3.6,4.9,5.6,6,6.9,7.3,8.3,6365.9,81,92.5,20.7
Actual,1996 Q2,6.8,8.6,3.7,6.5,5.5,3.5,5,6.5,6.8,7.7,8.1,8.3,6612.8,81.5,92.4,20.2
Actual,1996 Q3,3.6,5,3.2,4.9,5.3,2.3,5.1,6.5,6.8,7.7,8.1,8.3,6765.7,82,91.9,21.6
Actual,1996 Q4,4.2,6.5,2,4.8,5.3,3.5,5,6.1,6.4,7.2,7.7,8.3,7198.3,82.5,97.7,22
Actual,1997 Q1,2.6,5.1,3.7,5.6,5.2,2.5,5.1,6.4,6.6,7.4,7.8,8.3,7213.5,83.2,105.2,22.1
Actual,1997 Q2,6.8,7.7,3.5,4.5,5,0.9,5,6.6,6.8,7.5,7.9,8.5,8396.9,84,105.4,21.8
Actual,1997 Q3,5.1,6.9,4.8,5.9,4.9,2,5,6.1,6.4,7.1,7.5,8.5,9180.2,85,108.6,26
Actual,1997 Q4,3.5,4.8,6,7.4,4.7,2.2,5.1,5.9,6,6.9,7.2,8.5,9298.2,86.3,118.4,38.2
Actual,1998 Q1,4.1,4.7,8.8,8.8,4.6,0.8,5.1,5.6,5.7,6.7,7.1,8.5,10494.7,88.1,120.5,28.7
Actual,1998 Q2,3.8,4.7,5.7,6.5,4.4,1.3,5,5.6,5.8,6.7,7.1,8.5,10663.6,89.2,125.5,26.1
Actual,1998 Q3,5.1,6.9,4,5.3,4.5,2.1,4.8,5.2,5.4,6.8,6.9,8.5,9346.8,90.8,125.6,45.3
Actual,1998 Q4,6.6,7.8,3,4.1,4.4,1.9,4.3,4.6,4.9,6.8,6.8,7.9,11317.6,92.5,128,45.7
Actual,1999 Q1,3.8,5.2,4.3,5.2,4.3,1.5,4.4,5,5.4,6.9,6.9,7.8,11707.7,94,123.4,33
Actual,1999 Q2,3.4,5,0.3,2.6,4.3,3,4.5,5.5,5.8,7.3,7.2,7.8,12583.6,95.8,123.3,28.9
Actual,1999 Q3,5.4,6.9,2.9,5.1,4.2,3,4.7,5.9,6.2,7.8,7.8,8.1,11713.8,97.7,129.9,28.5
Actual,1999 Q4,6.7,9.1,5.3,7.9,4.1,3,5,6.1,6.5,8,7.8,8.4,13812.7,99.8,131.6,28.8
Actual,2000 Q1,1.5,4.2,7.2,10.7,4,4,5.5,6.6,6.7,8.3,8.3,8.7,14296.2,102.3,125,27
Actual,2000 Q2,7.5,10.2,4.8,6.8,3.9,3.2,5.7,6.5,6.4,8.6,8.3,9.2,13618.5,104.9,133.8,33.5
Actual,2000 Q3,0.4,2.8,5.4,8.1,4,3.7,6,6.1,6.1,8.2,8,9.5,13613.3,107.2,142.7,21.9
Actual,2000 Q4,2.4,4.6,2.7,5.1,3.9,2.9,6,5.6,5.8,8,7.6,9.5,12175.9,109.6,145.4,31.7
Actual,2001 Q1,-1.3,1.3,3.2,6.3,4.2,3.9,4.8,4.9,5.3,7.5,7,8.6,10645.9,112.2,143.6,32.8
Actual,2001 Q2,2.5,5,-0.3,1.6,4.4,2.8,3.7,4.9,5.5,7.5,7.1,7.3,11407.2,114.2,145.1,34.7
Actual,2001 Q3,-1.6,0,9.5,9.7,4.8,1.1,3.2,4.6,5.3,7.2,7,6.6,9563,116.4,146,43.7
Actual,2001 Q4,1.1,2.4,-6.5,-6.3,5.5,-0.3,1.9,4.2,5.1,7.1,6.8,5.2,10707.7,118.3,138.7,35.3
Actual,2002 Q1,3.4,4.7,9.9,10.8,5.7,1.3,1.7,4.5,5.4,7.4,7,4.8,10775.7,120.4,142.7,26.1
Actual,2002 Q2,2.5,3.9,3.2,6.3,5.8,3.2,1.7,4.5,5.4,7.5,6.8,4.8,9384,123.6,140.8,28.4
Actual,2002 Q3,1.6,3.6,0.5,2.6,5.7,2.2,1.6,3.4,4.5,7.2,6.3,4.8,7773.6,126.7,143.3,45.1
Actual,2002 Q4,0.5,2.8,2.5,4.4,5.9,2.4,1.3,3.1,4.3,6.9,6.1,4.5,8343.2,129.3,148.8,42.6
Actual,2003 Q1,2.1,4.1,0.1,3.2,5.9,4.2,1.2,2.9,4.2,6.2,5.8,4.3,8051.9,131.9,154.9,34.7
Actual,2003 Q2,3.6,5.1,4.6,5,6.1,-0.7,1,2.6,3.8,5.3,5.5,4.2,9342.4,134.8,153.3,29.1
Actual,2003 Q3,6.8,9.3,7,9.8,6.1,3,0.9,3.1,4.4,5.6,6,4,9649.7,138.7,149.1,22.7
Actual,2003 Q4,4.7,7.3,1.1,3.1,5.8,1.5,0.9,3.2,4.4,5.4,5.9,4,10799.6,143.2,151.5,21.1
Actual,2004 Q1,2.3,5.2,1.8,5,5.7,3.4,0.9,3,4.1,5,5.6,4,11039.4,148.1,160.7,21.6
Actual,2004 Q2,3.1,6.5,4.2,7,5.6,3.2,1.1,3.7,4.7,5.7,6.1,4,11144.6,153.9,169.3,20
Actual,2004 Q3,3.8,6.5,2.6,4.6,5.4,2.6,1.5,3.5,4.4,5.4,5.9,4.4,10893.8,159.2,179.5,19.3
Actual,2004 Q4,4.1,7.4,4.7,8.4,5.4,4.4,2,3.5,4.3,5.1,5.7,4.9,11951.5,165.2,179.4,16.6
Actual,2005 Q1,4.5,7.9,-5.3,-3.1,5.3,2,2.5,3.9,4.4,5.2,5.8,5.4,11637.3,172,185.9,14.7
Actual,2005 Q2,2,5,3.7,6.4,5.1,2.7,2.9,3.9,4.2,5.4,5.7,5.9,11856.7,178.8,189,17.7
Actual,2005 Q3,3.2,7,1.5,5.9,5,6.2,3.4,4,4.3,5.4,5.8,6.4,12282.9,185,197.6,14.2
Actual,2005 Q4,2.2,5.6,3.6,7,5,3.8,3.8,4.4,4.6,5.8,6.2,7,12497.2,190.1,203.8,16.5
Actual,2006 Q1,5.5,8.5,7.6,9.9,4.7,2.1,4.4,4.6,4.7,5.8,6.2,7.4,13121.6,193.7,210.2,14.6
Actual,2006 Q2,1,4.6,1.5,5.1,4.6,3.7,4.7,5,5.2,6.3,6.6,7.9,12808.9,192.3,219.2,23.8
Actual,2006 Q3,0.6,3.4,0.6,3.5,4.6,3.8,4.9,4.8,5,6.3,6.6,8.3,13322.5,190.8,225.1,18.6
Actual,2006 Q4,3.5,5,5,4.3,4.4,-1.6,4.9,4.6,4.7,6,6.2,8.3,14215.8,190.8,230.6,12.7
Actual,2007 Q1,1.2,5.1,3.1,6.9,4.5,4,5,4.6,4.8,6,6.2,8.3,14354,189,237.1,19.6
Actual,2007 Q2,2.5,5.3,2,5.5,4.5,4.6,4.7,4.7,4.9,6.2,6.4,8.3,15163.1,183.3,246.7,18.9
Actual,2007 Q3,2.3,4.6,0.7,3,4.7,2.6,4.3,4.5,4.8,6.5,6.6,8.2,15317.8,178.3,251.4,30.8
Actual,2007 Q4,2.5,4.2,0.5,4.6,4.8,5,3.4,3.8,4.4,6.3,6.2,7.5,14753.6,172.6,248.6,31.1
Actual,2008 Q1,-1.7,-0.2,1.7,5.1,5,4.4,2.1,2.8,3.9,6.4,5.9,6.2,13284.1,165.8,229.2,32.2
Actual,2008 Q2,2.4,4.4,8.5,12.8,5.3,5.3,1.6,3.2,4.1,6.7,6.1,5.1,13016.4,158.3,232.5,24.1
Actual,2008 Q3,-2.1,0.9,-7.5,-3.5,6,6.3,1.5,3.1,4.1,7.1,6.3,5,11826,151.3,226.8,46.7
Actual,2008 Q4,-8.5,-7.6,4.6,-1.9,6.9,-8.9,0.3,2.2,3.7,9.7,5.9,4.1,9056.7,143.5,220.1,80.9
Actual,2009 Q1,-4.5,-4.8,-0.3,-3,8.3,-2.7,0.2,1.9,3.2,9.1,5.1,3.3,8044.2,139.3,206.8,56.7
Actual,2009 Q2,-0.7,-1.4,2.7,4.3,9.3,2.1,0.2,2.3,3.7,8.1,5,3.3,9342.8,139.3,170.9,42.3
Actual,2009 Q3,1.4,1.9,-4.8,-2.1,9.6,3.5,0.2,2.5,3.8,6.5,5.2,3.3,10812.8,139.7,166.3,31.3
Actual,2009 Q4,4.4,5.7,0.6,3.7,9.9,3.2,0.1,2.3,3.7,5.8,4.9,3.3,11385.1,140.6,153.9,30.7
Actual,2010 Q1,2,3.1,2.4,4,9.8,0.6,0.1,2.4,3.9,5.6,5,3.3,12032.5,139.3,159,27.3
Actual,2010 Q2,3.9,6,6.8,7.5,9.6,-0.1,0.1,2.3,3.6,5.4,4.9,3.3,10645.8,139.7,171.3,45.8
Actual,2010 Q3,3.1,4.4,2.2,3,9.5,1.2,0.2,1.6,2.9,4.8,4.4,3.3,11814,136.7,169.6,32.9
Actual,2010 Q4,2.1,4.5,1.5,4.2,9.5,3.3,0.1,1.5,3,4.7,4.4,3.3,13131.5,135.6,171.9,23.5
Actual,2011 Q1,-0.9,1.1,4.1,7.6,9,4.3,0.1,2.1,3.5,5,4.8,3.3,13908.5,133.2,177.4,29.4
Actual,2011 Q2,2.7,5.5,-0.8,3.2,9.1,4.6,0,1.8,3.3,4.8,4.7,3.3,13843.5,134,173.8,22.7
Actual,2011 Q3,-0.1,2.3,2.1,4.1,9,2.6,0,1.1,2.5,4.5,4.3,3.3,11676.5,134.5,172,48
Actual,2011 Q4,4.6,5.1,0.9,2.2,8.6,1.8,0,1,2.1,4.8,4,3.3,13019.3,134.3,182.8,45.5
Actual,2012 Q1,3.4,5.8,6.3,9.1,8.3,2.3,0.1,0.9,2.1,4.4,3.9,3.3,14627.5,135.6,182.6,23
Actual,2012 Q2,1.8,3.5,2.7,3.7,8.2,0.8,0.1,0.8,1.8,4.3,3.8,3.3,14100.2,139,181.6,26.7
Actual,2012 Q3,0.6,2.8,-3.1,-2,8,1.8,0.1,0.7,1.6,3.9,3.6,3.3,14894.7,141.8,185.7,20.5
Actual,2012 Q4,0.5,2.5,11.6,14.1,7.8,2.7,0.1,0.7,1.7,3.6,3.4,3.3,14834.9,144.9,188.9,22.7
Actual,2013 Q1,4,5.7,-14.9,-13.7,7.7,1.6,0.1,0.8,1.9,3.7,3.5,3.3,16396.2,148.6,190.5,19
Actual,2013 Q2,1.1,1.9,3.1,3.3,7.5,-0.4,0.1,0.9,2,3.8,3.7,3.3,16771.3,152.4,200.3,20.5
Actual,2013 Q3,3.4,5.5,1.4,3.1,7.2,2.2,0,1.5,2.7,4.7,4.4,3.3,17718.3,156.2,212.6,17
Actual,2013 Q4,3.5,5.7,0.6,2,6.9,1.5,0.1,1.4,2.8,4.5,4.3,3.3,19413.2,159.3,213.7,20.3
Actual,2014 Q1,-1.4,0.1,4.7,6.7,6.7,2.5,0,1.6,2.8,4.4,4.4,3.3,19711.2,161.4,209.5,21.4
Actual,2014 Q2,5.3,7.7,5.1,7,6.2,2.1,0,1.7,2.7,4,4.2,3.3,20568.7,162.4,219.6,17
Actual,2014 Q3,5,6.7,3.8,5,6.1,1,0,1.7,2.5,3.9,4.1,3.3,20458.8,164.5,223.5,17
Actual,2014 Q4,2,2.4,5.8,5.3,5.7,-1,0,1.6,2.3,4,4,3.3,21424.6,167.1,230.4,26.3
Actual,2015 Q1,3.7,3.4,5.6,3.7,5.5,-2.6,0,1.5,2,3.9,3.7,3.3,21707.6,169.2,241.2,22.4
Actual,2015 Q2,2.5,4.9,1.2,3.2,5.4,2.8,0,1.5,2.2,3.9,3.8,3.3,21630.9,171.1,246,18.9
Actual,2015 Q3,1.6,2.7,2.2,3.3,5.1,1.5,0,1.6,2.3,4.3,4,3.3,19959.3,173.6,245.9,40.7
Actual,2015 Q4,0.7,0.7,2.3,2,5,0,0.1,1.6,2.2,4.4,3.9,3.3,21100.9,176.2,243.9,24.4
Actual,2016 Q1,2.3,2,3.3,3.5,4.9,-0.2,0.3,1.4,2,4.5,3.7,3.5,21179.4,178.3,238.3,28.1
Actual,2016 Q2,1.3,4.1,-0.8,1.7,4.9,3.2,0.3,1.3,1.8,3.9,3.6,3.5,21621.5,180.3,246.9,25.8
Actual,2016 Q3,2.9,3.9,2.3,3.7,4.9,1.7,0.3,1.2,1.6,3.5,3.4,3.5,22468.6,182.8,256.4,18.1
Actual,2016 Q4,2.2,4.2,2.6,4.5,4.8,2.6,0.4,1.7,2.2,3.9,3.8,3.5,23276.7,185.6,257.6,22.5
Actual,2017 Q1,2,4.1,4.2,6.7,4.6,2.8,0.6,2,2.5,4,4.2,3.8,24508.3,188.2,251.9,13.1
Actual,2017 Q2,2.3,3.3,4.4,5.3,4.4,0.5,0.9,1.8,2.3,3.8,4,4,25125,190.8,271.2,16
Actual,2017 Q3,3.2,5.3,2.8,4.3,4.3,1.9,1,1.8,2.3,3.7,3.9,4.3,26148.5,193.7,266,16
Actual,2017 Q4,4.6,7.2,2.5,5,4.2,3.2,1.2,2.1,2.4,3.7,3.9,4.3,27673.2,196.8,270.4,13.1
Actual,2018 Q1,3.3,5.9,4.3,7.2,4,3.4,1.6,2.5,2.8,4.1,4.3,4.5,27383,199.9,274.5,37.3
Actual,2018 Q2,2.1,5.1,3.6,5.8,3.9,2.2,1.8,2.8,2.9,4.5,4.5,4.8,28313.8,202.2,273.5,23.6
Actual,2018 Q3,2.5,4.3,4.3,5.7,3.8,1.6,2,2.8,2.9,4.5,4.6,5,30189.6,204.2,275.2,16.1
Actual,2018 Q4,0.6,2.3,3.9,5.5,3.8,1.6,2.3,2.9,3,4.8,4.8,5.3,25724.5,206,271.6,36.1
Actual,2019 Q1,2.5,3.8,5,5.9,3.9,1.1,2.4,2.5,2.7,4.5,4.4,5.5,29193.9,207.5,281.8,25.5
Actual,2019 Q2,3.4,5.5,-0.3,2,3.6,3,2.3,2.1,2.4,4,4,5.5,30243.8,209.5,294,20.6
Actual,2019 Q3,4.8,6.1,2.7,3.7,3.6,1.3,2,1.7,1.8,3.4,3.7,5.3,30441.8,212,293,24.6
Actual,2019 Q4,2.8,4,1.9,3.5,3.6,2.8,1.6,1.6,1.8,3.3,3.7,4.8,33035.4,215.2,288.3,20.6
Actual,2020 Q1,-5.5,-3.7,2.6,3.9,3.8,1.4,1.1,1.2,1.4,3.4,3.5,4.4,25984.8,218.3,294,82.7
Actual,2020 Q2,-28.1,-29.1,45.9,43.6,13,-3.8,0.1,0.4,0.7,3.4,3.2,3.3,31576.8,220.1,286.8,57.1
Actual,2020 Q3,35.2,40,-13.5,-10.6,8.8,4.7,0.1,0.3,0.6,2.4,3,3.3,34305.8,227.2,291.1,33.6
Actual,2020 Q4,4.4,7.3,-8,-6.2,6.8,2.9,0.1,0.4,0.9,2.3,2.8,3.3,39219.6,235.8,297.9,40.3
Actual,2021 Q1,5.6,11.1,57.6,64.8,6.2,4,0.1,0.6,1.4,2.4,2.9,3.3,41602.7,243.2,300.2,37.2
Actual,2021 Q2,6.4,13.2,-27.7,-23.1,5.9,7.6,0,0.8,1.6,2.6,3,3.3,44904.3,254.6,307,27.6
Actual,2021 Q3,3.5,9.8,-4.5,0.9,5.1,6.6,0,0.8,1.4,2.4,2.9,3.3,44705.8,265.4,333.4,25.7
Actual,2021 Q4,7.4,15.1,-4.4,2,4.2,8.8,0.1,1.2,1.6,2.7,3.1,3.3,48634.3,276.1,345.3,31.1
Actual,2022 Q1,-1,7.3,-10.9,-4,3.8,9.1,0.3,1.9,2,3.5,3.8,3.3,45847.3,288,337.3,36.5
Actual,2022 Q2,0.3,9.7,-1.8,5.6,3.6,9.9,1.1,3,3,4.9,5.3,3.9,37976.5,296.1,340.9,34.8
Actual,2022 Q3,2.7,7.4,6.6,11.7,3.5,5.4,2.7,3.3,3.2,5.3,5.6,5.4,36098,294.3,343.1,32.6
Actual,2022 Q4,3.4,7.2,3.8,7.9,3.6,4.1,4,4.1,3.9,6.1,6.7,6.8,38520.6,295.8,338.5,33.6
Actual,2023 Q1,2.8,6.6,10.9,15.3,3.5,3.7,4.6,3.8,3.7,5.6,6.4,7.7,41136.6,298.9,338.6,26.5
Actual,2023 Q2,2.5,4.3,3.3,6.4,3.5,3,5.1,3.7,3.7,5.7,6.5,8.2,44411.5,302.5,347.6,20.1
Actual,2023 Q3,4.4,7.7,1.4,4.1,3.7,3.5,5.3,4.3,4.2,6,7,8.4,42788.7,308.3,339.9,18.9
Actual,2023 Q4,3.2,4.8,3.2,4.9,3.8,2.8,5.3,4.5,4.5,6.2,7.3,8.5,47787.5,312.6,315.8,21.7
Actual,2024 Q1,1.6,4.7,5.6,9.2,3.8,3.7,5.2,4.1,4.2,5.6,6.7,8.5,52402.9,315.2,306.4,15.9
